city,geoid,Total Population (2020-2024),Total Housing Units (2020-2024),Rental Vacancy Rate (2020-2024),Median Household Income (2020-2024),likely_reason,confidence
SanAntonio,78623,1645,721,0.0,116923.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78883,208,227,0.0,40491.0,Low population - possibly rural or special use area; Low occupancy rate - possible vacation homes or investment properties,High
SanAntonio,78885,23,88,0.0,68125.0,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
SanAntonio,78886,286,148,0.0,123532.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanFrancisco,94018,3834,1576,0.0,230053.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94021,321,140,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanFrancisco,94027,7002,2676,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94028,6531,2808,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94038,2683,1039,92.24137931034484,99680.0,Extremely high rental vacancy - area in transition or special circumstances,High
SanFrancisco,94065,11673,4852,7.765263781861292,215955.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94074,126,35,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94105,13861,10003,11.99748743718593,225000.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94128,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94129,3836,1428,2.4799416484318018,220972.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94158,11314,5123,4.559088182363527,196506.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94188,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94402,25475,10764,4.457885304659498,172522.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94404,35881,15350,5.905460259264109,192332.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94502,13430,4991,5.633802816901409,180938.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94506,27055,9444,1.1754068716094033,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94507,14586,5343,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94517,12316,4519,0.0,168921.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94526,32584,12185,1.7694882831181251,225097.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94528,1049,463,0.0,207500.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94548,832,259,0.0,189653.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94563,19378,7416,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94569,296,210,0.0,38929.0,Low population - possibly rural or special use area,High
SanFrancisco,94575,975,0,0.0,,Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94586,971,359,19.402985074626866,204931.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94613,472,0,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94720,5763,412,33.730158730158735,,High rental vacancy - economic distress or redevelopment; High occupancy - possible group housing or institutional,Medium
SanFrancisco,94920,12609,5816,15.805658056580564,246045.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94925,10077,4171,0.0,232763.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94929,293,468,45.23809523809524,209536.0,Low population - possibly rural or special use area; High rental vacancy - economic distress or redevelopment; Low occupancy rate - possible vacation homes or investment properties; High income area - possible luxury/custom housing market,High
SanFrancisco,94933,1033,601,0.0,133006.0,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94938,437,300,27.835051546391753,,Low population - possibly rural or special use area; High rental vacancy - economic distress or redevelopment,High
SanFrancisco,94940,148,162,0.0,47021.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
SanFrancisco,94950,22,11,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanFrancisco,94957,2321,791,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
SanFrancisco,94963,739,239,0.0,210823.0,High income area - possible luxury/custom housing market,Medium
SanFrancisco,94964,2344,244,0.0,115192.0,High occupancy - possible group housing or institutional,Medium
SanFrancisco,94970,255,693,85.0,132857.0,Low population - possibly rural or special use area; Extremely high rental vacancy - area in transition or special circumstances; Low occupancy rate - possible vacation homes or investment properties,High
SanFrancisco,94971,276,166,0.0,119028.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanFrancisco,95391,25574,7412,0.0,176952.0,High income area - possible luxury/custom housing market,Medium
Tampa,33503,891,184,0.0,138553.0,Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,Medium
Tampa,33530,20,10,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Tampa,33550,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Tampa,33574,1822,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Tampa,33620,7298,34,0.0,,Very few housing units - likely commercial/industrial zone; High occupancy - possible group housing or institutional,High
Tampa,33744,59,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Tampa,33786,1582,1187,52.702702702702695,163125.0,Extremely high rental vacancy - area in transition or special circumstances; High income area - possible luxury/custom housing market,High
Tampa,34661,386,402,0.0,,Low population - possibly rural or special use area; Low occupancy rate - possible vacation homes or investment properties,High
Tampa,34679,141,165,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Tampa,34681,1284,608,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
